Stock,Sequence,Accuracy,Train MAPE,Test MAPE
ADBL,3,24.878048780487806,3.431004591567103,7.659569230804976
ADBL,4,33.170731707317074,3.2706631626483054,7.194297519836537
ADBL,5,27.31707317073171,2.829295296115906,7.258661169633712
ADBL,6,31.372549019607842,3.7222650394803347,7.25826996706582
ADBL,7,38.23529411764706,3.3333613213578444,6.730178964315381
ADBL,8,47.05882352941176,3.415035790770613,6.519303938531995
ADBL,9,73.52941176470588,1.9299714707271074,5.131320124496813
ADBL,10,54.90196078431373,2.2315938466789516,6.251183487901764
ADBL,11,29.064039408866993,4.711791654160126,7.936890912990443
ADBL,12,37.4384236453202,3.3983800412473855,7.11736911096583
CZBIL,3,81.95121951219512,6.3317943890700095,3.064262047308804
CZBIL,4,83.41463414634146,4.821766718746521,2.5730692657236256
CZBIL,5,83.33333333333334,3.167328787895403,2.741067049842002
CZBIL,6,87.25490196078431,4.963285303656467,2.5215206409094657
CZBIL,7,92.64705882352942,2.942921207376385,2.2346853820786245
CZBIL,8,77.94117647058823,3.975793812334625,3.5492976010848873
CZBIL,9,88.23529411764706,4.351038339159586,2.4794051538625173
CZBIL,10,79.3103448275862,4.976893583185165,3.443929559492534
CZBIL,11,88.17733990147784,3.2171909553496594,2.5703279994021493
CZBIL,12,84.72906403940887,2.8058731743678607,3.066353639088124
EBL,3,95.1219512195122,1.8906434305787045,1.7418514588657712
EBL,4,92.6829268292683,2.8062618556378984,2.0635784283293677
EBL,5,94.14634146341463,1.8238440903502473,2.178205096613774
EBL,6,95.58823529411765,1.9752578742080658,1.8236113945892047
EBL,7,92.64705882352942,2.5243540342860826,2.2676794824249824
EBL,8,94.11764705882352,2.0034747382273093,2.089866953677036
EBL,9,91.17647058823529,1.9196270591809252,2.1163857102297596
EBL,10,95.09803921568627,1.7701690627942215,1.8631042457867892
EBL,11,91.62561576354679,2.8007445729739624,2.3925897957965274
EBL,12,90.14778325123153,2.9477254124126717,2.599386360471624
GBIME,3,57.92682926829268,4.975417882591247,4.958330860047107
GBIME,4,72.39263803680981,5.239928471192359,4.160158671302079
GBIME,5,75.4601226993865,3.7474557608179255,3.542185131989032
GBIME,6,80.3680981595092,3.980168639951162,3.1536499347066425
GBIME,7,71.16564417177914,3.508828523550035,4.406027143298775
GBIME,8,73.61963190184049,3.615014265517364,3.693430488249582
GBIME,9,72.22222222222221,3.604591864069902,4.04492132186624
GBIME,10,79.01234567901234,2.50977518095091,3.3541659428461075
GBIME,11,75.30864197530865,3.272478252527923,3.568938431996408
GBIME,12,78.39506172839506,3.182975842810258,3.4847273827616805
HBL,3,68.38709677419355,5.221751323781746,4.747694444055251
HBL,4,79.35483870967742,4.5506814614396465,3.7517896390332406
HBL,5,64.28571428571429,4.994716425082878,4.760592235804132
HBL,6,61.038961038961034,3.11938784504695,4.836531999741467
HBL,7,71.42857142857143,4.770745770054536,4.365002895050752
HBL,8,72.07792207792207,4.179294152917877,4.1632430555122415
HBL,9,37.01298701298701,8.520570720115396,7.468475576769258
HBL,10,78.43137254901961,3.8246110145185046,3.826037876647498
HBL,11,62.091503267973856,5.550471053706937,5.425268944469528
HBL,12,58.82352941176471,6.41804724503093,6.196949428312825
KBL,3,65.81632653061224,4.217100984555519,4.546515409593074
KBL,4,64.28571428571429,7.954116454720774,3.964447534840778
KBL,5,64.79591836734694,8.389204384667533,4.157926972180444
KBL,6,75.51020408163265,6.709044849962137,3.8641485769613246
KBL,7,54.08163265306123,5.847971190504596,5.29016088194556
KBL,8,67.17948717948717,4.2009693536418915,4.134648688530955
KBL,9,57.948717948717956,2.9483401595290246,4.918084733912926
KBL,10,67.17948717948717,3.1965854616745046,4.446839593823634
KBL,11,70.25641025641025,3.8291756486048745,4.120213971586266
KBL,12,63.07692307692307,3.0844019808777547,4.788538903370731
MBL,3,52.94117647058824,3.246733938207459,5.151379351280637
MBL,4,63.23529411764706,4.124190292468899,4.357226583448165
MBL,5,65.19607843137256,4.78068435628102,4.221063754053069
MBL,6,61.274509803921575,4.296464240700824,4.445522232414229
MBL,7,65.19607843137256,4.1248551279900365,4.320280121952036
MBL,8,66.99507389162561,4.3765866592460805,4.006737754564498
MBL,9,50.24630541871922,3.998241121925656,5.491499202500575
MBL,10,48.76847290640394,3.536643138909288,5.760586248002239
MBL,11,66.00985221674877,4.312822843566842,4.316137372549344
MBL,12,50.73891625615764,3.444794120803586,5.404151708778131
NABIL,3,78.04878048780488,3.883321429021068,3.2645354294184967
NABIL,4,83.41463414634146,3.1610661614849302,3.0219633322255586
NABIL,5,81.37254901960785,4.3463273891180165,3.1145003836312446
NABIL,6,71.56862745098039,3.127263552417504,3.384956470979577
NABIL,7,76.9607843137255,3.9992900397080096,3.2824859551322847
NABIL,8,75.49019607843137,3.9398035898014014,3.462924915381044
